run event track particle start_energy_[eV] start_x_[mm] start_y_[mm] start_z_[mm] start_t_[ns] energy_deposit_[eV] track_weight end_x_[mm] end_y_[mm] end_z_[mm] end_t_[ns]
0 0 379 phononTF 0.00260147 10.486 11.4488 -0.0584511 52115.1 0.00260147 1 28.8617 6.70533 -0.5 58720.4
0 0 378 phononTS 0.000756579 10.486 11.4488 -0.0584511 52115.1 0.000756579 1 12.5827 11.563 -0.5 52825.4
0 0 376 phononTS 0.000801096 -7.1778 5.52576 0.160552 47039.9 0.000801096 1 -2.17404 7.30241 -0.5 87574.7
0 0 385 phononTS 0.00435885 0.367223 0.198482 -0.434374 1150.84 0.00435885 1 15.107 -0.631858 -0.5 14640.1
0 0 384 phononTF 0.0048553 0.367223 0.198482 -0.434374 1150.84 0.0048553 1 -10.885 -1.97172 0.5 7644.19
0 0 382 phononTF 0.00531077 -0.0732532 0.0148366 -0.0799711 239.954 0.00531077 1 0.0973822 -0.155067 -0.5 2424.24
0 0 387 phononTS 0.00500041 -0.316472 -1.29284 0.296086 1196.12 0.00500041 1 -10.064 -6.42255 0.5 14498.5
0 0 386 phononTS 0.00462323 -0.316472 -1.29284 0.296086 1196.12 0.00462323 1 -10.1173 5.54116 0.5 27967.7
0 0 390 phononTS 0.00524608 -0.628209 -0.16603 0.0490201 3495.45 0.00524608 1 -2.10084 -3.72812 -0.5 6669.58
0 0 388 phononTS 0.00402184 -1.35825 -1.12144 -0.0725593 2627.25 0.00402184 1 -8.93593 -6.10241 0.5 15510.4
0 0 399 phononTF 0.00520529 -0.203619 -0.138879 -0.408247 2944.94 0.00520529 1 11.8276 6.03426 0.5 13772.3
0 0 398 phononTF 0.00242387 -0.203619 -0.138879 -0.408247 2944.94 0.00242387 1 11.2308 -15.9318 0.5 16059
0 0 396 phononTS 0.00248341 -0.235365 -0.0451411 -0.309048 2883.73 0.00248341 1 1.41697 -3.71246 0.5 4667.6
0 0 401 phononTF 0.00493104 -0.18593 -0.330689 -0.157126 281.305 0.00493104 1 -13.7203 8.41624 0.5 21711.7
0 0 400 phononTS 0.00213212 -0.18593 -0.330689 -0.157126 281.305 0.00213212 1 4.12414 -6.15637 0.5 4714.57
0 0 409 phononTF 0.00137494 2.46581 7.21676 -0.198039 8801.96 0.00137494 1 10.9547 4.2087 -0.5 10508.3
0 0 408 phononTS 0.00243261 2.46581 7.21676 -0.198039 8801.96 0.00243261 1 -3.57742 6.92903 0.5 23334.4
0 0 406 phononTS 0.0040356 -1.51457 1.72382 0.367176 3855.13 0.0040356 1 17.745 -4.47406 -0.5 26051.5
0 0 411 phononTS 0.0048114 -3.31256 0.887007 -0.206476 6009.23 0.0048114 1 -1.21632 3.8969 0.5 24120.2
0 0 410 phononTS 0.00176034 -3.31256 0.887007 -0.206476 6009.23 0.00176034 1 -7.05649 7.17636 0.5 11165.5
0 0 415 phononL 0.00690547 0.0203045 0.161644 -0.296934 752.916 0.00690547 1 -0.590961 -1.18929 -0.5 3119.86
0 0 414 phononL 0.0034571 0.0203045 0.161644 -0.296934 752.916 0.0034571 1 3.66825 0.650175 0.5 25979.2
0 0 412 phononTF 0.00470377 -0.177704 0.152962 -0.136983 462.508 0.00470377 1 -7.2677 3.1833 0.5 6032.84
0 0 419 phononTS 0.00563442 -0.374568 -0.0520778 0.218088 849.667 0.00563442 1 0.46233 0.592627 0.5 1163.01
0 0 418 phononTF 0.00449404 -0.374568 -0.0520778 0.218088 849.667 0.00449404 1 -3.78039 -1.5847 -0.5 13172.1
0 0 421 phononTS 0.00540443 -0.604707 0.572313 0.265381 2512.2 0.00540443 1 -1.07661 -4.66834 0.5 34146.7
0 0 420 phononTF 0.00516849 -0.604707 0.572313 0.265381 2512.2 0.00516849 1 -12.1238 0.487903 -0.5 8630.84
